SPEAKER|commerciante donna|f|s
4	.	.	F	FS	_	1	punc

SPEAKER|commerciante donna|f|s
1	Ecco	ecco	B	B	_	3	mod
2	lo	il	R	RD	num=s|gen=m	3	det
3	scontrino	scontrino	S	S	num=s|gen=m	0	ROOT
4	.	.	F	FS	_	3	punc

SPEAKER|commerciante donna|f|s
1	Sono	essere	V	V	num=p|per=3|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
2	3	3	N	N	_	3	subj
3	euro	euro	S	S	num=s|gen=m	1	pred
4	e	e	C	CC	_	3	con
5	30	30	N	N	_	3	conj
6	di	di	E	E	_	5	comp
7	resto	resto	S	S	num=s|gen=m	6	prep
8	a	a	E	E	_	1	comp_loc
9	Lei	Lei	S	SP	_	8	prep
10	.	.	F	FS	_	1	punc

SPEAKER|ragazza|f|s
1	Grazie	Grazie	I	I	num=n|gen=n	0	ROOT
2	mille	mille	N	N	_	1	mod
3	,	,	F	FF	_	2	punc
4	buona	buono	A	A	num=s|gen=f	5	mod
5	giornata	giornata	S	S	num=s|gen=f	1	conj
6	!	!	F	FS	_	1	punc

SPEAKER|commerciante donna|f|s
1	Grazie	Grazie	I	I	num=n|gen=n	0	ROOT
2	,	,	F	FF	_	4	punc
3	anche	anche	B	B	_	4	mod
4	a	a	E	E	_	1	comp
5	Lei	Lei	S	SP	_	4	prep
6	!	!	F	FS	_	1	punc

SPEAKER|ragazza|f|s
1	Buongiorno	buongiorno	I	I	_	4	mod
2	,	,	F	FF	_	1	punc
3	devo	dovere	V	VM	num=s|per=1|mod=i|ten=p	4	modal	io devo, tu devi, lui/lei/Lei deve, noi dobbiamo, voi dovete, loro devono
4	comprare	comprare	V	V	mod=f	0	ROOT
5	dei	di	E	EA	num=p|gen=m	4	comp
6	vestiti	vestito	S	S	num=p|gen=m	5	prep
7	per	per	E	E	_	4	comp
8	mio	mio	A	AP	num=s|gen=m	9	mod	mio/mia/miei/mie
9	figlio	figlio	S	S	num=s|gen=m	7	prep
10	.	.	F	FS	_	4	punc

SPEAKER|commerciante uomo|m|s
1	Certo	certo	B	B	_	5	mod
