SPEAKER|Marta|f|s
SPEAKER|Roberto|m|s
1	Cosa	cosa	P	PQ	num=s|gen=n	2	obj
2	scrivo	scrivere	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io scrivo, tu scrivi, lui/lei/Lei scrive, noi scriviamo, voi scrivete, loro scrivono
3	qui	qui	B	B	_	2	mod_temp
4	?	?	F	FS	_	2	punc

SPEAKER|Roberto|m|s
1	Ah	ah	I	I	_	3	mod
2	,	,	F	FF	_	1	punc
3	sì	sì	B	B	_	6	mod
4	:	:	F	FC	_	3	punc
5	il	il	R	RD	num=s|gen=m	6	det
6	numero	numero	S	S	num=s|gen=m	0	ROOT
7	di	di	E	E	_	6	comp
8	casa	casa	S	S	num=s|gen=f	7	prep
9	e	e	C	CC	_	6	con
10	qui	qui	B	B	_	6	conj
11	il	il	R	RD	num=s|gen=m	12	det
12	cellulare	cellulare	S	S	num=s|gen=m	10	prep
13	.	.	F	FS	_	6	punc

SPEAKER|Marta|f|s
1	Ma	ma	C	CC	_	2	con
2	ho	avere	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io ho, tu hai, lui/lei/Lei ha, noi abbiamo, voi avete, loro hanno
3	soltanto	soltanto	B	B	_	5	mod
4	il	il	R	RD	num=s|gen=m	5	det
5	cellulare	cellulare	S	S	num=s|gen=m	2	obj
6	....	....	F	FS	_	2	punc

SPEAKER|Roberto|m|s
1	Anch'	anche	B	B	_	2	mod
2	io	io	P	PE	num=s|per=1|gen=n	5	pron
3	,	,	F	FF	_	5	punc
4	non	non	B	BN	_	5	neg
5	fa	fare	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io faccio, tu fai, lui/lei/Lei fa, noi facciamo, voi fate, loro fanno
6	niente	niente	B	B	_	5	mod
7	.	.	F	FS	_	5	punc

SPEAKER|Roberto|m|s
1	Qual	qual	P	PR	num=s|gen=n	2	pred
2	è	essere	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
3	il	il	R	RD	num=s|gen=m	5	det
4	tuo	tuo	A	AP	num=s|gen=m	5	mod	tuo/tua/tuoi/tue
5	numero	numero	S	S	num=s|gen=m	2	subj
6	di	di	E	E	_	5	comp
7	cellulare	cellulare	S	S	num=s|gen=m	6	prep
8	?	?	F	FS	_	2	punc

SPEAKER|Marta|f|s
1	Un	uno	R	RI	num=s|gen=m	2	det
2	momento	momento	S	S	num=s|gen=m	0	ROOT
3	,	,	F	FF	_	6	punc
4	non	non	B	BN	_	6	neg
5	lo	lo	P	PC	num=s|per=3|gen=m	6	obj
6	so	sapere	V	V	num=s|per=1|mod=i|ten=p	2	mod_rel	io so, tu sai, lui/lei/Lei sa, noi sappiamo, voi sapete, loro sanno
7	.	.	F	FS	_	2	punc

SPEAKER|Marta|f|s
1	3386443256	3386443256	N	N	_	0	ROOT
2	.	.	F	FS	_	1	punc

SPEAKER|Marta|f|s
1	E	e	C	CC	_	3	con
2	qual	qual	D	DQ	num=s|gen=n	3	pred
3	è	essere	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
4	il	il	R	RD	num=s|gen=m	6	det
5	tuo	tuo	A	AP	num=s|gen=m	6	mod	tuo/tua/tuoi/tue
6	numero	numero	S	S	num=s|gen=m	3	subj
7	?	?	F	FS	_	3	punc

SPEAKER|Roberto|m|s
1	3209987443	3209987443	N	N	_	0	ROOT
2	.	.	F	FS	_	1	punc

SPEAKER|Marta|f|s
1	Come	come	B	B	_	2	mod
2	scusa	scusa	I	I	num=s|per=3|mod=i|ten=p	0	ROOT
3	?	?	F	FS	_	2	punc

SPEAKER|Marta|f|s
1	Puoi	potere	V	VM	num=s|per=2|mod=i|ten=p	2	modal	io posso, tu puoi, lui/lei/Lei può, noi possiamo, voi potete, loro possono
2	ripetere	ripetere	V	V	mod=f	0	ROOT
3	perfavore	perfavore	V	V	mod=f	2	arg
4	?	?	F	FS	_	2	punc

SPEAKER|Roberto|m|s
1	3209987443	3209987443	N	N	_	0	ROOT
2	.	.	F	FS	_	1	punc

SPEAKER|Roberto|m|s
1	E	e	C	CC	_	7	con
2	qui	qui	B	B	_	4	mod_loc
3	l'	il	R	RD	num=s|gen=f	4	det
4	e-mail	e-mail	S	S	num=s|gen=f	7	mod
5	:	:	F	FC	_	4	punc
6	qual	qual	P	PR	num=s|gen=n	7	subj
7	è	essere	V	V	num=s|per=3|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
8	il	il	R	RD	num=s|gen=m	10	det
9	tuo	tuo	A	AP	num=s|gen=m	10	mod	tuo/tua/tuoi/tue
10	indirizzo	indirizzo	S	S	num=s|gen=m	7	pred
11	e-mail	e-mail	S	SP	num=s|gen=f	10	mod
12	?	?	F	FS	_	7	punc

SPEAKER|Marta|f|s
1	Non	non	B	BN	_	2	neg
2	uso	usare	V	V	num=s|per=1|mod=i|ten=p	4	mod	io uso, tu usi, lui/lei/lei usa, noi usiamo, voi usate, loro usano
3	l'	il	R	RD	num=s|gen=f	4	det
4	e-mail	e-mail	S	SP	num=s|gen=f	7	subj
5	,	,	F	FF	_	4	con
6	ma	ma	C	CC	_	4	con
7	scriviamo	scrivere	V	V	num=p|per=1|mod=i|ten=p	0	ROOT	io scrivo, tu scrivi, lui/lei/Lei scrive, noi scriviamo, voi scrivete, loro scrivono
8	:	:	F	FC	_	7	punc
9	martanc	martanc	B	B	num=n|gen=n	0	ROOT
10	@gmail.com.	@gmail.com.	B	B	num=n|gen=n	9	concat

SPEAKER|Roberto|m|s
1	Quali	quale	D	DQ	num=p|gen=f	2	mod
2	lingue	lingua	S	S	num=p|gen=f	3	subj
