SPEAKER|Angela|f|s
6	come	come	C	CS	_	2	mod
7	stai	stare	V	V	num=s|per=2|mod=i|ten=p	0	ROOT	io sto, tu stai, lui sta, noi stiamo, voi state, loro stanno
8	?	?	F	FS	_	2	punc

SPEAKER|Mahmoud|m|s
1	Oggi	oggi	B	B	_	2	mod_temp
2	sto	stare	V	V	num=s|per=1|mod=i|ten=p	0	ROOT	io sto, tu stai, lui sta, noi stiamo, voi state, loro stanno
3	bene	bene	B	B	_	2	mod_temp
4	,	,	F	FF	_	2	con
5	sono	essere	V	V	num=p|per=1|mod=i|ten=p	2	conj	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
6	felice	felice	A	A	num=s|gen=m	5	pred
7	perché	perché	C	CS	_	5	mod
8	sono	essere	V	VA	num=p|per=1|mod=i|ten=p	9	aux	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
9	andato	andare	V	V	num=s|mod=p|gen=m	7	sub
10	in	in	E	E	_	9	comp
11	questura	questura	S	S	num=s|gen=f	10	prep
12	a	a	E	E	_	9	arg
13	prendere	prendere	V	V	mod=f	12	prep
14	i	il	R	RD	num=p|gen=m	16	det
15	miei	mio	A	AP	num=p|gen=m	16	mod	mio/mia/miei/mie
16	documenti	documento	S	S	num=p|gen=m	13	obj
17	.	.	F	FS	_	2	punc

SPEAKER|Angela|f|s
1	Ah	ah	I	I	_	3	mod
2	,	,	F	FF	_	1	punc
3	evviva	evviva	I	I	_	0	ROOT
4	!	!	F	FS	_	3	punc

SPEAKER|Angela|f|s
1	Sono	essere	V	V	num=p|per=1|mod=i|ten=p	0	ROOT	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
2	felice	felice	A	A	num=s|gen=f	1	pred
3	per	per	E	E	_	2	comp
4	te	te	P	PE	num=s|per=2|gen=n	3	prep
5	.	.	F	FS	_	1	punc

SPEAKER|Angela|f|s
1	Ma	ma	C	CC	_	5	con
2	poi	poi	B	B	_	5	mod
3	oggi	oggi	B	B	_	5	mod_temp
4	sei	essere	V	VA	num=s|per=2|mod=i|ten=p	5	aux	io sono, tu sei, lui/lei/Lei è, noi siamo, voi siete, loro sono
5	vestito	vestito	V	V	num=s|mod=p	0	ROOT
6	benissimo	benissimo	B	B	_	10	mod
7	,	,	F	FF	_	6	punc
8	che	che	D	DE	num=n|gen=n	10	mod
9	bella	bello	A	A	num=s|gen=f	10	mod
10	giacca	giacca	S	S	num=s|gen=f	0	ROOT
11	e	e	C	CC	_	10	con
12	che	che	C	CS	_	10	conj
13	bei	bello	A	A	num=p|gen=m	14	mod
14	capelli	capello	S	S	num=p|gen=m	12	sub
15	!	!	F	FS	_	10	punc

SPEAKER|Mahmoud|m|s
1	Grazie	Grazie	I	I	num=n|gen=n	0	ROOT
2	,	,	F	FF	_	3	punc
3	Angela	Angela	S	SP	_	1	mod
4	.	.	F	FS	_	1	punc

SPEAKER|Mahmoud|m|s
1	Tra	tra	E	E	_	3	comp
2	poco	poco	P	PI	num=s|gen=m	1	prep
